"Day","UTM campaign source","UTM campaign medium","Orders (last click)","Gross sales (last click)","Discounts (last click)","Returns (last click)","Net sales (last click)","Shipping charges (last click)","Duties (last click)","Additional fees (last click)","Taxes (last click)","Total sales (last click)","Average order value (last click)"
"2026-03-01","facebook","paid",5,557.48,-4.77,0,552.71,23.85,0,0,0,576.56,110.542
"2026-03-01","google","cpc",6,254.56,0,0,254.56,47.7,0,0,0,302.26,42.426
"2026-03-01","google",,1,134.9,0,0,134.9,0,0,0,0,134.9,134.9
"2026-03-01",,,19,2381.31,-118.17,0,2263.14,133.86,0,0,9.11,2406.11,119.112
"2026-03-01","fb","Ads",0,0,0,0,0,0,0,0,0,0,
"2026-03-02",,,18,3038.98,-33.41,-48.82,2956.75,64.51,0,0,64.59,3085.85,166.976
"2026-03-02","facebook",,0,0,0,0,0,0,0,0,0,0,
"2026-03-02","facebook","paid",11,657.37,-8.07,0,649.3,71.55,0,0,0,720.85,59.027
"2026-03-02","shopify_email","email",1,11.9,0,0,11.9,7.95,0,0,0,19.85,11.9
"2026-03-02","google",,0,0,0,0,0,0,0,0,0,0,
"2026-03-02","Klaviyo","email",2,302.86,0,0,302.86,7.95,0,0,16.2,327.01,151.43
"2026-03-02","google","cpc",4,525.2,-7.47,0,517.73,7.95,0,0,6.95,532.63,129.432
"2026-03-03","facebook","paid",2,315.45,0,0,315.45,0,0,0,0,315.45,157.725
"2026-03-03","google","cpc",7,1152.38,-7.71,0,1144.67,23.85,0,0,0,1168.52,163.524
"2026-03-03","shopify_email","email",0,0,0,0,0,0,0,0,0,0,
"2026-03-03","google","product_sync",1,195.45,0,0,195.45,0,0,0,0,195.45,195.45
"2026-03-03",,,14,3200.82,-560.94,0,2639.88,78.77,0,0,6.2,2724.85,188.562
"2026-03-03","facebook",,1,109.95,0,0,109.95,0,0,0,0,109.95,109.95
"2026-03-04",,,11,2123.38,-84.92,0,2038.46,59.99,0,0,61.24,2159.69,185.314
"2026-03-04","google","product_sync",0,0,0,0,0,0,0,0,0,0,
"2026-03-04","Klaviyo",,1,400.11,0,0,400.11,0,0,0,0,400.11,400.11
"2026-03-04","google","cpc",4,400.31,0,0,400.31,15.9,0,0,0,416.21,100.077
"2026-03-04","facebook","paid",8,924.08,0,0,924.08,47.7,0,0,0,971.78,115.51
"2026-03-04","fb","Ads",1,110.42,0,0,110.42,0,0,0,0,110.42,110.42
"2026-03-04","Klaviyo","email",1,58.8,0,0,58.8,7.95,0,0,0,66.75,58.8
"2026-03-05","fb","Ads",2,3090.92,-397.38,0,2693.54,0,0,0,0,2693.54,1346.77
"2026-03-05",,,8,780.6,-7.47,0,773.13,51.01,3.26,0,13.01,840.41,96.641
"2026-03-05","Klaviyo","email",0,0,0,0,0,0,0,0,0,0,
"2026-03-05","google","cpc",4,188.7,0,0,188.7,23.85,0,0,0,212.55,47.175
"2026-03-05","facebook","paid",4,177.56,-4.41,0,173.15,31.8,0,0,0,204.95,43.287
"2026-03-05","google","product_sync",1,39.9,0,0,39.9,7.95,0,0,0,47.85,39.9
"2026-03-06",,,10,2843.12,-104.6,0,2738.52,47.7,0,0,1.96,2788.18,273.852
"2026-03-06","fb","Ads",2,110.42,0,0,110.42,15.9,0,0,0,126.32,55.21
"2026-03-06","Klaviyo","email",1,116.9,0,0,116.9,0,0,0,0,116.9,116.9
"2026-03-06","shop_app",,1,190.41,0,0,190.41,0,0,0,0,190.41,190.41
"2026-03-06","google","cpc",6,364.52,-4.47,0,360.05,61.9,0,0,0,421.95,60.008
"2026-03-06","facebook","paid",5,217.27,0,0,217.27,39.75,0,0,0,257.02,43.454
"2026-03-07","fb","Ads",3,174.22,0,0,174.22,23.85,0,0,0,198.07,58.073
"2026-03-07","google","cpc",5,416.37,0,0,416.37,31.8,0,0,1.61,449.78,83.274
"2026-03-07","facebook","paid",4,389.29,-16.56,0,372.73,15.9,0,0,0,388.63,93.182
"2026-03-07","shopify_email","email",0,0,0,0,0,0,0,0,0,0,
"2026-03-07",,,15,1469.97,-41.54,0,1428.43,71.55,0,0,0,1499.98,95.228
"2026-03-07","Klaviyo","email",2,287.26,-16.56,0,270.7,29.49,7.91,0,23.81,331.91,135.35
"2026-03-08",,,9,1196.88,-114.46,0,1082.42,15.9,0,0,0,1098.32,120.268
"2026-03-08","facebook","paid",4,192.58,0,0,192.58,52.4,0,0,0,244.98,48.145
"2026-03-08","Klaviyo","email",2,135.91,-8.04,0,127.87,15.9,0,0,0,143.77,63.935
"2026-03-08","google","cpc",3,264.61,0,0,264.61,7.95,0,0,0,272.56,88.203
"2026-03-08","fb","Ads",9,752.96,0,0,752.96,55.65,0,0,0,808.61,83.662
"2026-03-09",,,8,1817.8,-362.13,0,1455.67,31.8,0,0,14.06,1501.53,181.958
"2026-03-09","Klaviyo","email",2,477.11,0,0,477.11,0,0,0,0,477.11,238.555
"2026-03-09","facebook","paid",2,123.41,0,-55.21,68.2,-20.6,0,0,7.74,55.34,61.705
"2026-03-09","google","product_sync",1,79.95,0,0,79.95,7.95,0,0,0,87.9,79.95
"2026-03-09","ig","social",1,207.7,0,0,207.7,0,0,0,0,207.7,207.7
"2026-03-09","google","cpc",6,1055.25,0,0,1055.25,23.85,0,0,0,1079.1,175.875
"2026-03-10","Klaviyo","email",2,712.36,0,0,712.36,0,0,0,0,712.36,356.18
"2026-03-10","facebook",,0,0,0,0,0,0,0,0,0,0,
"2026-03-10",,,5,4145.95,-764.51,0,3381.44,23.91,0,0,0,3405.35,676.288
"2026-03-10","google","cpc",6,779.66,0,0,779.66,23.85,0,0,0,803.51,129.943
"2026-03-10","facebook","paid",4,157.37,0,0,157.37,31.8,0,0,0,189.17,39.342
"2026-03-11",,"paid",1,71.85,0,0,71.85,7.95,0,0,0,79.8,71.85
"2026-03-11","google","cpc",5,477.3,0,0,477.3,31.8,0,0,3.46,512.56,95.46
"2026-03-11","facebook","paid",2,875.36,-15.84,0,859.52,0,0,0,0,859.52,429.76
"2026-03-11",,,11,8927.11,-1771.1,0,7156.01,57.69,0,0,10.8,7224.5,650.546
"2026-03-11","Klaviyo","email",1,499.9,0,0,499.9,0,0,0,0,499.9,499.9
"2026-03-12","facebook","paid",5,385.3,0,0,385.3,31.8,0,0,0,417.1,77.06
"2026-03-12","google","product_sync",1,3.95,0,0,3.95,7.95,0,0,0.81,12.71,3.95
"2026-03-12",,,14,2126.17,-97.59,0,2028.58,156.88,0,0,0,2185.46,144.898
"2026-03-12","google","cpc",3,164.7,0,0,164.7,23.85,0,0,2.97,191.52,54.9
"2026-03-12","Klaviyo","email",0,0,0,0,0,0,0,0,0,0,
"2026-03-13","fb","Ads",3,377.72,0,0,377.72,7.95,0,0,0,385.67,125.906
"2026-03-13","Klaviyo","email",0,0,0,0,0,0,0,0,0,0,
"2026-03-13",,,9,1163.77,0,0,1163.77,67.58,0,0,0,1231.35,129.307
"2026-03-13","facebook","paid",3,213.6,0,0,213.6,15.9,0,0,5.11,234.61,71.2
"2026-03-13","google","cpc",3,176.65,0,0,176.65,23.85,0,0,4.84,205.34,58.883
"2026-03-13","ig","Ads",1,94.6,0,0,94.6,7.95,0,0,0,102.55,94.6
"2026-03-14","fb","Ads",1,84.8,0,0,84.8,7.95,0,0,0,92.75,84.8
"2026-03-14","Klaviyo","email",1,254.6,-20.2,0,234.4,0,0,0,0,234.4,234.4
"2026-03-14",,,5,784.9,0,0,784.9,15.9,0,0,22.58,823.38,156.98
"2026-03-14","facebook","paid",1,66.9,0,0,66.9,7.95,0,0,0,74.85,66.9
"2026-03-14","google","cpc",5,396.5,-43.96,0,352.54,31.8,0,0,0,384.34,70.508
"2026-03-15","facebook","paid",5,681.11,0,0,681.11,7.95,0,0,0,689.06,136.222
"2026-03-15","Klaviyo","email",0,0,0,0,0,0,0,0,0,0,
"2026-03-15","facebook",,2,169.85,0,0,169.85,7.95,0,0,0,177.8,84.925
"2026-03-15","google","product_sync",0,0,0,0,0,0,0,0,0,0,
"2026-03-15","fb","Ads",2,261.16,0,0,261.16,7.95,0,0,0,269.11,130.58
"2026-03-15",,,9,845.67,-18.05,0,827.62,39.75,0,0,0,867.37,91.957
"2026-03-15","google","cpc",8,744.15,0,0,744.15,66.01,0,0,18.43,828.59,93.018
"2026-03-16","Klaviyo","email",2,295.01,-31.33,0,263.68,7.95,0,0,0,271.63,131.84
"2026-03-16",,,9,1311.91,-47.93,0,1263.98,23.85,0,0,0,1287.83,140.442
"2026-03-16","google","cpc",5,439.3,-9.57,0,429.73,35.81,0,0,0,465.54,85.946
"2026-03-16","facebook","paid",4,218.26,0,0,218.26,23.85,0,0,0,242.11,54.565
"2026-03-17","chatgpt.com",,1,124.9,0,0,124.9,0,0,0,0,124.9,124.9
"2026-03-17","Klaviyo","email",3,275.65,-21.96,0,253.69,15.9,0,0,4.48,274.07,84.563
"2026-03-17","facebook","paid",4,256.45,0,0,256.45,31.8,0,0,2.03,290.28,64.112
"2026-03-17",,,16,6023.94,-845.3,0,5178.64,47.7,0,0,7.4,5233.74,318.986
"2026-03-17","google","cpc",9,797.6,-14.95,0,782.65,163.28,0,0,0,945.93,86.961
"2026-03-17","google","product_sync",0,0,0,0,0,0,0,0,0,0,
"2026-03-17","fb","Ads",2,320.36,0,0,320.36,0,0,0,0,320.36,160.18
