"Ad name","Amount spent (USD)",Impressions,"Link clicks",Purchases,"Purchases conversion value","Link (ad settings)","Reporting starts","Reporting ends"
"17.11.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP - PDP",2189.66,131950,2214,18,4850.98,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"Video | Site B | Austin  - 816341450512552",1804.32,198571,2025,19,10858.15,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-01,2026-03-10
"09.12.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP : Multitool PDP",1698.34,112534,1313,14,3494.5,https://www.thelogox.com/pages/multitool,2026-03-01,2026-03-10
"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",1101.62,120566,1537,13,3865.8,https://www.thelogox.com/products/forester-package,2026-03-01,2026-03-10
"25.02.26 | Static - 3 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",595.81,60359,328,14,2962.36,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"Video | Site B | Austin  - 711679707645394",502.61,60256,687,,,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-01,2026-03-10
"06.01.26 | B4.V4 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",484.08,33305,362,3,1021.85,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"Vid FB1 937590858387610",310.28,26643,266,7,2062.9,https://www.thelogox.com/pages/multitool,2026-03-01,2026-03-10
"25.02.26 | Static - 9 | The Fireside Bundle | Text Variation - 1 | LP : PDP",308.69,27384,126,,,https://www.thelogox.com/products/fireside-bundle,2026-03-01,2026-03-10
"06.01.26 | B6.V3 | Forester Package | Text Variation - 1 | LP : Forester Package",291.77,33239,343,3,1476.65,https://www.thelogox.com/products/forester-package,2026-03-01,2026-03-10
"06.01.26 | B6.V1 | Forester Package | Text Variation - 1 | LP : Forester Package",291.72,20855,200,3,955,https://www.thelogox.com/products/forester-package,2026-03-01,2026-03-10
"17.11.25 | Video - 3 | LogOX 3-in-1 | Text Variation - 2 | LP - PDP",237.27,14548,291,4,1447.89,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"3-in-1 Forestry MultiTool Static",212.37,24588,149,9,2312.33,https://www.thelogox.com/pages/multitool,2026-03-01,2026-03-10
"09.12.25 | Video - 3 | LogOX 3-in-1 | Text Variation - 2 | LP - Multitool PDP",203.3,8130,134,2,558,https://www.thelogox.com/pages/multitool,2026-03-01,2026-03-10
"25.02.26 | Video - 6 | LogOX 3-in-1 podcast revised | Text Variation - 1 | LP : PDP",165.75,31902,151,1,474.95,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"Vid YT4 937590921720937",145.91,11085,107,2,578,https://www.thelogox.com/pages/multitool,2026-03-01,2026-03-10
"25.02.26 | Static - 10 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",129.54,11596,156,1,355.5,https://www.thelogox.com/products/carryox-gear-bag,2026-03-01,2026-03-10
"25.02.26 | Static - 8 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",117.18,10061,86,,,https://www.thelogox.com/products/carryox-gear-bag,2026-03-01,2026-03-10
"25.02.26 | Video - 1 | Dan-D-Lift video revised | Text Variation - 1 | LP : PDP",115.22,22909,227,3,130,https://www.thelogox.com/products/timberox-ddl,2026-03-01,2026-03-10
"25.02.26 | Video - 4 | Dan-D-Lift 1to1 revised | Text Variation - 1 | LP : PDP",114.91,20780,265,10,6620,https://www.thelogox.com/products/timberox-ddl,2026-03-01,2026-03-10
"25.02.26 | Video - 3 | LogOX 3-in-1 video revised | Text Variation - 1 | LP : PDP",105.9,22579,74,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"25.02.26 | Video - 5 | LogOX Hauler podcast revised | Text Variation - 1 | LP : PDP",96.64,19420,76,,,https://www.thelogox.com/products/logox-carrying-tool,2026-03-01,2026-03-10
"03.03.26 | B6.V3 | LogOX Hauler | Text Variation - 1 | LP : LogOX Hauler",66.84,15000,87,,,https://www.thelogox.com/products/logox-carrying-tool,2026-03-01,2026-03-10
"02.03.26 | Video -1 | WoodOX Sling | Text Variation - 1 | LP : Amazon LP",34.21,3595,58,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"25.02.26 | Video - 2 | LogOX Hauler video revised | Text Variation - 1 | LP : PDP",27.8,5957,17,,,https://www.thelogox.com/products/logox-carrying-tool,2026-03-01,2026-03-10
"02.03.26 | Video - 4 | WoodOX Sling | Text Variation - 1 | LP - Amazon LP",24.69,9155,885,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"02.03.26 | Video - 4 | WoodOX Sling duplicate",13.72,1381,12,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"02.03.26 | Video -1 | WoodOX Sling duplicate",12.53,4108,351,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"25.02.26 | Static - 6 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",10.62,1082,8,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"17.11.25 | Video - 6 | TimberOX Summit 30-Ton | Text Variation - 3 | LP - PDP",8.78,591,37,,,https://www.thelogox.com/products/timberox,2026-03-01,2026-03-10
"02.03.26 | Video - 2 | WoodOX Sling | LP : Amazon LP",4.47,520,2,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"02.03.26 | Video - 3 | WoodOX Sling | LP - Amazon LP",2.57,953,45,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"25.02.26 | Static - 2 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",1.36,176,3,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"19.01.26 | LOGOX V1 | Hearth Bin | Text Variation - 1 | LP : PDP",1.26,43,3,,,https://www.thelogox.com/products/logox-firewood-hearth-bin,2026-03-01,2026-03-10
"25.02.26 | Static -1 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",0.92,97,,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"25.02.26 | Static - 8 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",0.54,66,,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"25.02.26 | Static - 5 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",0.49,68,,2,908.91,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"25.02.26 | Static - 7 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",0.42,67,,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"02.03.26 | Video - 3 | WoodOX Sling duplicate 2",0.36,30,,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"02.03.26 | Video - 2 | WoodOX Sling duplicate",0.36,232,11,,,https://www.amazon.ca/logox,2026-03-01,2026-03-10
"25.02.26 | Static - 4 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",0.17,15,,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"Video | Site B | Austin duplicate",0.09,17,,,,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-01,2026-03-10
"17.11.25 | Video -2 | LogOX 3-in-1 duplicate",0.09,6,,,,https://www.thelogox.com/products/logox-3-in-1,2026-03-01,2026-03-10
"09.12.25 | Video -2 | LogOX 3-in-1 duplicate",0.06,16,,,,https://www.thelogox.com/pages/multitool,2026-03-01,2026-03-10
"Video | Site B | Austin duplicate 2",0.03,10,,,,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-01,2026-03-10
"06.01.26 | B6.V2 | Forester Package duplicate",0.02,4,,,,https://www.thelogox.com/products/forester-package,2026-03-01,2026-03-10
"06.01.26 | B6.V3 | Forester Package duplicate",0,1,,,,https://www.thelogox.com/products/forester-package,2026-03-01,2026-03-10
